Location/Agglomeration,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation,day,night
Norwich Urban Area,27000,18200,12500,3800,200,19000,13300,4300,300,0,1500,1000,400,0,0,1200,600,100,0,0,0,0,0,0,0,0,0,0,0,0,205000,5.149,2.979
Birkenhead Urban Area,92700,33600,16700,4800,300,58200,21800,6500,600,0,2400,600,0,0,0,1200,100,0,0,0,1100,500,200,100,100,1000,400,200,100,100,325000,5.996,2.84
Leicester Urban Area,102800,41600,23400,8200,900,62400,27300,9700,1100,0,12400,7000,3400,1700,100,10400,5200,2600,1000,100,1700,1100,800,500,300,1500,1000,800,400,200,485000,4.975,2.84
Lincoln Urban Area,8600,5800,3900,1800,100,6100,4100,1900,100,0,2800,1600,400,200,0,2200,1300,300,100,0,100,0,0,0,0,100,0,0,0,0,105000,3.204,2.57
Grimsby/Cleethorpes,14100,10000,7200,2300,100,10300,7600,2500,100,0,1100,200,0,0,0,600,0,0,0,0,1100,800,600,300,200,1000,700,500,300,200,140000,4.143,2.536
Exeter,13800,6400,3800,1800,100,9100,4400,1900,100,0,4400,2200,1100,600,0,2800,1200,700,0,0,100,0,0,0,0,100,0,0,0,0,110000,3.375,2.453
Sunderland Urban Area,20000,11000,6600,2900,400,12300,7100,3100,400,0,2200,900,300,0,0,1100,500,100,0,0,0,0,0,0,0,0,0,0,0,0,180000,3.544,2.446
Chesterfield/Staveley,10500,6300,4200,1600,100,6900,4500,1800,100,0,2100,1100,500,200,100,1700,900,400,100,0,200,100,0,0,0,200,100,0,0,0,105000,3.48,2.434
Luton/Dunstable,47500,17400,8800,3400,100,28500,11000,4000,200,0,11100,6200,3900,2600,900,8400,5100,3200,1800,300,0,0,0,0,0,0,0,0,0,0,255000,3.958,2.227
Swindon,23000,9300,5000,1900,0,13000,5800,2300,0,0,5300,3300,2100,900,100,4200,2600,1400,400,0,300,200,100,100,0,200,100,100,0,0,165000,3.269,1.979
Mansfield Urban Area,17700,9000,5700,2000,0,10600,6000,2200,0,0,1200,400,0,0,0,500,0,0,0,0,300,100,0,0,0,200,100,0,0,0,165000,3.164,1.893
Gloucester Urban Area,31600,10700,5400,1400,100,17700,6800,1900,200,0,6100,3300,1800,600,0,4700,2600,1300,200,0,300,200,100,100,0,300,200,100,100,0,145000,4.28,1.861
Plymouth,24500,12400,6600,3100,700,13500,7100,3300,700,0,7200,3900,1900,700,0,5400,2700,1400,300,0,1000,700,500,300,200,900,600,500,300,200,260000,2.766,1.802
