,,,,Longitude,Latitude
,,,,-2.36032,51.379185
,,,,-2.361069,51.38491
,,,,-2.360554,51.383392
,,,,-2.359175,51.383451
,,,,-2.357017,51.383089
,,,,-2.361069,51.38491
,,,,-2.357557,51.382341
,,,,-2.3623,51.380654
,,,,-2.361034,51.384047
,,,,-2.360554,51.383392
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.357255,51.378637
,,,,-2.360022,51.377837
,,,,-2.354904,51.38483
,,,,-2.354904,51.38483
,,,,-2.357056,51.378871
,,,,-2.353954,51.384581
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.356911,51.380553
,,,,-2.357255,51.378637
,,,,-2.357056,51.378871
,,,,-2.357255,51.378637
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.357664,51.38502
,,,,-2.357255,51.378637
,,,,-2.358249,51.378904
,,,,-2.359207,51.37837
,,,,-2.357255,51.378637
,,,,-2.358051,51.377529
,,,,-2.355926,51.383272
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.357056,51.378871
,,,,-2.356174,51.379962
,,,,-2.357442,51.38039
,,,,-2.356174,51.379962
,,,,-2.353954,51.384581
,,,,-2.357255,51.378637
,,,,-2.356724,51.384222
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.356174,51.379962
,,,,-2.358051,51.377529
,,,,-2.357255,51.378637
,,,,-2.357255,51.378637
,,,,-2.357056,51.378871
,,,,-2.357255,51.378637
,,,,-2.351735,51.385748
,,,,-2.351735,51.385748
,,,,-2.356174,51.379962
,,,,-2.356724,51.384222
,,,,-2.35188,51.384048
,,,,-2.360022,51.377837
,,,,-2.352659,51.384442
,,,,-2.357255,51.378637
,,,,-2.358051,51.377529
,,,,-2.351609,51.38618
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.351609,51.38618
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.358051,51.377529
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.360022,51.377837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.358249,51.378904
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.35811,51.379542
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.35811,51.379542
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.35811,51.379542
,,,,-2.359207,51.37837
,,,,-2.359207,51.37837
,,,,-2.352761,51.386464
,,,,-2.357056,51.378871
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.358051,51.377529
,,,,-2.357056,51.378871
,,,,-2.357056,51.378871
,,,,-2.352761,51.386464
,,,,-2.362041,51.385977
,,,,-2.359977,51.386766
,,,,-2.362118,51.384862
,,,,-2.359977,51.386766
,,,,-2.361999,51.386202
,,,,-2.356768,51.389905
,,,,-2.364555,51.385979
,,,,-2.360173,51.387943
,,,,-2.363129,51.383645
,,,,-2.36077,51.38528
,,,,-2.359977,51.386766
,,,,-2.365635,51.386227
,,,,-2.365635,51.386227
,,,,-2.356742,51.390175
,,,,-2.362118,51.384862
,,,,-2.363451,51.38448
,,,,-2.361999,51.386202
,,,,-2.36077,51.38528
,,,,-2.362118,51.384862
,,,,-2.362118,51.384862
,,,,-2.361999,51.386202
,,,,-2.363451,51.38448
,,,,-2.364858,51.38792
,,,,-2.362118,51.384862
,,,,-2.361999,51.386202
,,,,-2.362118,51.384862
,,,,-2.361999,51.386202
,,,,-2.362118,51.384862
,,,,-2.356768,51.389905
,,,,-2.361999,51.386202
,,,,-2.356768,51.389905
,,,,-2.360073,51.397169
,,,,-2.373185,51.402721
,,,,-2.372616,51.392931
,,,,-2.365314,51.389249
,,,,-2.365314,51.389249
,,,,-2.364015,51.388525
,,,,-2.364015,51.388525
,,,,-2.363492,51.387744
,,,,-2.363492,51.387744
,,,,-2.36285,51.388349
,,,,-2.363492,51.387744
,,,,-2.363492,51.387744
,,,,-2.389751,51.383083
,,,,-2.388791,51.385145
,,,,-2.389751,51.383083
,,,,-2.391651,51.38349
,,,,-2.388791,51.385145
,,,,-2.389722,51.391517
,,,,-2.389722,51.391517
,,,,-2.391231,51.386477
,,,,-2.389722,51.391517
,,,,-2.389722,51.391517
,,,,-2.389722,51.391517
,,,,-2.393792,51.383456
,,,,-2.394985,51.383569
,,,,-2.401541,51.385498
,,,,-2.400205,51.385548
,,,,-2.402534,51.385728
,,,,-2.402534,51.385728
,,,,-2.398252,51.384062
,,,,-2.398252,51.384062
,,,,-2.397072,51.395539
,,,,-2.395606,51.39549
,,,,-2.394643,51.393875
,,,,-2.402079,51.387888
,,,,-2.400647,51.38854
,,,,-2.379183,51.385824
,,,,-2.38626,51.391727
,,,,-2.383888,51.386465
,,,,-2.379183,51.385824
,,,,-2.381514,51.384486
,,,,-2.387449,51.384466
,,,,-2.383948,51.385125
,,,,-2.383459,51.388499
,,,,-2.380676,51.385622
,,,,-2.387449,51.384466
,,,,-2.368555,51.381192
,,,,-2.362753,51.38156
,,,,-2.365727,51.381515
,,,,-2.363053,51.381362
,,,,-2.363626,51.381126
,,,,-2.365727,51.381515
,,,,-2.365727,51.381515
,,,,-2.365727,51.381515
,,,,-2.363053,51.381362
,,,,-2.367401,51.380629
,,,,-2.363733,51.3802
,,,,-2.365727,51.381515
,,,,-2.367401,51.380629
,,,,-2.368922,51.382125
,,,,-2.363053,51.381362
,,,,-2.363733,51.3802
,,,,-2.368555,51.381192
,,,,-2.365727,51.381515
,,,,-2.368555,51.381192
,,,,-2.363053,51.381362
,,,,-2.368555,51.381192
,,,,-2.364884,51.380358
,,,,-2.364045,51.381466
,,,,-2.362661,51.382613
,,,,-2.364045,51.381466
,,,,-2.363235,51.378897
,,,,-2.364045,51.381466
,,,,-2.364884,51.380358
,,,,-2.363235,51.378897
,,,,-2.365745,51.38013
,,,,-2.365727,51.381515
,,,,-2.365727,51.381515
,,,,-2.365727,51.381515
,,,,-2.365745,51.38013
,,,,-2.362753,51.38156
,,,,-2.362661,51.382613
,,,,-2.368555,51.381192
,,,,-2.365727,51.381515
,,,,-2.364045,51.381466
,,,,-2.368922,51.382125
,,,,-2.365727,51.381515
,,,,-2.363733,51.3802
,,,,-2.363053,51.381362
,,,,-2.365727,51.381515
,,,,-2.364884,51.380358
,,,,-2.365727,51.381515
,,,,-2.363733,51.3802
,,,,-2.365745,51.38013
,,,,-2.362661,51.382613
,,,,-2.363626,51.381126
,,,,-2.363053,51.381362
,,,,-2.368922,51.382125
,,,,-2.368922,51.382125
,,,,-2.368922,51.382125
,,,,-2.363626,51.381126
,,,,-2.363748,51.382016
,,,,-2.36519,51.382614
,,,,-2.364884,51.380358
,,,,-2.368555,51.381192
,,,,-2.364884,51.380358
,,,,-2.364884,51.380358
,,,,-2.368555,51.381192
,,,,-2.368555,51.381192
,,,,-2.362661,51.382613
,,,,-2.363626,51.381126
