g_uk_datazone,g_uk_easting,g_uk_northing
E01024196,630723.4,143773.1
E01026509,630648,308574.4
E01024256,630642.3,145246.9
E01024641,630616.7,168744.7
E01024638,630607.8,169293.7
E01024241,630555.9,142588.5
E01026579,630531.8,314352.5
E01024216,630525.4,141160.3
E01026751,630410.4,337059.5
E01024197,630361.1,143204.3
E01030165,630358.9,234818.4
E01024254,630345.6,144542.6
E01024212,630187.6,140719.2
E01030220,630110,255870
E01024213,630019.3,141247.4
E01024240,630015.6,142107.2
E01024640,630005.3,168525.5
E01024255,629968.9,145619.8
E01030159,629948,235318.2
E01024639,629897.8,169152
E01030162,629896.6,234237
E01030164,629823.3,234724.4
E01026580,629800.3,317462.7
E01024637,629755.7,169681.6
E01026790,629596.6,326391.6
E01030160,629560.6,235830.8
E01024208,629539.9,159320
E01024235,629496.4,143376
E01024233,629399.6,143043.1
E01026754,629399,330198.6
E01030161,629317.9,235425.2
E01026755,629261.7,329470.4
E01026929,629256.4,303714.3
E01024636,629246.4,169565.2
E01030163,629208.9,233329.3
E01030193,629197.9,252827.6
E01024211,629094.2,144100.3
E01030170,629046.8,234061.9
E01030168,629001,235018.3
E01026894,628891.8,288420.6
E01026757,628854.6,331145.5
E01030174,628757.6,267283.3
E01030169,628653.9,235249
E01026756,628651,330737.5
E01026753,628642.3,330251.3
E01026546,628556.8,310943.4
E01026875,628541.6,298614.9
E01030173,628447.1,263391.3
E01024205,628432.1,149533.5
E01030171,628396.8,234279.7
E01026738,628391,334408
E01030214,628357.9,236566.4
E01026760,628264.5,329781.6
E01026578,628228.3,313295.2
E01030172,628212.8,263551.3
E01026758,628202.3,330708.4
E01030194,628188.7,250261
E01030216,628184.4,235799.4
E01030217,628087.8,239589.5
E01026576,627834.2,310075.9
E01030215,627749.5,237021.3
E01026574,627696.3,309565.8
E01026761,627675.1,330592
E01026575,627597.1,308826.8
E01026759,627530.1,329575.2
E01024207,627523.2,156665.8
E01024210,627518.2,144873.1
E01030195,627461.9,250012.9
E01030211,627425,249238.3
E01026904,627412.9,293603.3
E01026768,627346.7,323946.4
E01024204,627256.6,149499.9
E01026927,627213.3,302282.3
E01030218,627197.4,237797.4
E01024703,627182,166207.6
E01026516,627080.6,320278.8
E01026926,626966.1,303042.2
E01026928,626908.6,301597
E01026570,626770.4,309791.3
E01030053,626706.3,279115.4
E01030203,626677.3,248569.1
E01026573,626612.6,309338.9
E01030155,626588.6,249871.1
E01026517,626551.1,319017.6
E01030198,626546.1,243021.3
E01024206,626519.8,160537.1
E01026569,626491.7,310250.2
E01024234,626353.9,142463.5
E01030082,626213.6,272908
E01026558,626140.6,311226.3
E01030185,626091.4,248975.4
E01022054,625986.9,222859.7
E01026809,625985.1,310544.1
E01021997,625982.7,232534.4
E01021998,625954.8,232123.4
E01026577,625923,308539
E01026571,625918.6,309649.3
E01026803,625819.6,310164.6
E01024198,625787,139295.3
E01026572,625748,309141.8
E01022001,625545.5,231575.2
E01026561,625531.5,311966.9
E01026805,625494.9,310504.6
E01024190,625359.5,151979.9
E01022056,625340.3,221704.5
E01026804,625327.9,309756.6
E01026560,625263.3,311251.1
E01030154,625258.4,259746.7
E01026554,625166.9,312447.3
E01021999,625141.8,231166.8
E01026808,625073.8,309072.3
E01026901,625036.8,284335.7
E01030190,625013,246528.9
E01026762,624988.6,339750.1
E01026551,624951.8,315069.1
E01024203,624872.7,147407.4
E01026559,624863.6,310754.4
E01026789,624841.8,328428.1
E01026849,624830.5,308322.2
E01026557,624828.8,311635.7
E01026806,624792.9,309695.1
E01022055,624785.1,221713.8
E01026807,624756.5,309249.5
E01026902,624687.4,283356.9
E01022000,624667.6,231514.4
E01026553,624664.9,312096.2
E01022005,624613,230777.5
E01026936,624540.5,302017.6
E01026550,624496.4,315024.8
E01026552,624479.7,315055.5
E01026937,624462.6,305108.9
E01030191,624397.9,245524.3
E01024209,624397.4,157446.8
E01026900,624349.3,283014.1
E01026850,624319.6,308896.4
E01026515,624312,318773.8
E01022012,624311.1,221410.5
E01021985,624279.3,220497.5
E01030192,624268.3,244819.7
E01026555,624259,311897
E01029874,624248.3,234330.6
E01030200,624158.7,253185
E01022007,624097.9,231540.8
E01022006,624081.9,231018.8
E01026541,624075.8,312723
E01026851,624062.3,308037.1
E01021994,623954.2,220752.3
E01026802,623944.9,310864.3
E01026556,623866,311482.8
E01026844,623817.1,310058
E01026848,623789.1,309452.5
E01026817,623773.6,306908.7
E01024503,623767.6,136734
E01021986,623723.7,219754.4
E01024191,623711.4,152575
E01022004,623708.5,230396.2
E01026941,623696.1,298076.3
E01026542,623686.1,312489
E01024497,623671,137397.4
E01022029,623626.4,232226.2
E01022003,623606.7,230628.6
E01026816,623576.3,307427.3
E01026766,623549.1,337078.1
E01021996,623547.8,221149.9
E01026847,623486.9,308645.6
E01026819,623443.1,306639.6
E01024192,623439,152127
E01026845,623426.8,310016.6
E01026842,623412.1,310448.3
E01026841,623398.6,309693.3
E01021987,623372.7,220066.9
E01026543,623352.1,311847.4
E01024505,623322.2,136437.3
E01026514,623237.8,322757.7
E01030182,623211.4,245410
E01026801,623191.9,311112.3
E01024504,623180.8,136232.2
E01026818,623165.5,306400.9
E01021995,623148.7,220711.5
E01026540,623146.4,312614.2
E01024498,623145.1,137454.5
E01030181,623131.1,245426.5
E01026853,623124.4,307518.3
E01026544,623110.3,312983.5
E01024499,623107.3,137058.1
E01024500,623060.6,136838.9
E01026826,623043.9,309443.9
E01026846,623037.8,309896.2
E01026823,622998.1,308932.4
E01026822,622949.9,308352.7
E01026843,622949.5,310407.4
E01026903,622787,292770.3
E01022002,622770,230535.5
E01024496,622755.8,137795.1
E01024506,622729.9,135885.8
E01026852,622713.8,307108.1
E01024501,622691.3,136836.8
E01024507,622676.2,136259.9
E01026831,622674.4,309771
E01026533,622665.5,318947.8
E01026799,622645.9,311850.5
E01026779,622627.2,341055
E01026855,622621.8,307660.5
E01024502,622591.1,136634.5
E01026821,622542.1,305656.7
E01026798,622508.1,311303.4
E01024518,622488.7,137388.3
E01026800,622474.1,310867.6
E01026778,622468.5,341512
E01026820,622445.5,306271.3
E01030175,622433.1,249953.3
E01022009,622427.4,221894.8
E01026854,622409.8,308116.3
E01026830,622388.4,310290.3
E01030179,622377.8,245160.3
E01022010,622371.2,220854
E01030197,622354.1,241044.7
E01030180,622287.9,245571.1
E01026824,622207.3,308963.4
E01026797,622196.4,312222.8
E01024508,622159.6,135914
E01026827,622117.8,309373.7
E01026777,622102.1,340926.8
E01026856,622099.2,307897.9
E01026829,622083.9,310277.4
E01024042,622080.4,151372.8
E01024509,621995.6,135562.3
E01026857,621986.3,307429
E01026735,621975.1,342037.9
E01024542,621941.2,140056.6
E01024515,621928.9,136969.1
E01026549,621918.4,315755.8
E01026835,621903.9,308270.1
E01024517,621903.4,136482.5
E01030090,621889.4,267398
E01026811,621832.1,306527.2
E01024085,621814.9,158487.8
E01021992,621808.5,229369
E01026834,621804.8,310725.9
E01026825,621786.2,309541.3
E01026837,621776.1,308639.5
E01030184,621697.9,245191.8
E01026839,621697.8,307952.2
E01026530,621672.4,311978.3
E01024087,621666,163576.4
E01026832,621664.6,311277.6
E01026840,621662.2,308933.3
E01026734,621624.5,342218.4
E01024510,621595.6,135641.5
E01024516,621530.4,137342.4
E01026836,621516.3,308410.8
E01024541,621399.9,140113.3
E01026838,621394.3,307775.7
E01026866,621374.3,309364.3
E01026919,621363,299331.7
E01026828,621315.6,310406.4
E01026833,621301.6,310959.9
E01022011,621286.6,220075.9
E01026815,621261.1,307151.1
E01024511,621239.8,135991.9
E01024544,621199.9,142485.1
E01030183,621190.2,245081.2
E01026531,621121.8,311738.6
E01026812,621118.9,306186.9
E01024543,621073.1,139436
E01026736,621066.1,341877.2
E01022028,621058.1,230373.2
E01026872,620959.1,285965.6
E01026532,620940.2,312344.5
E01024094,620940.1,168196.9
E01026859,620896.5,307918.5
E01026863,620843.8,309037.9
E01030205,620819.9,244307.4
E01024513,620747.3,137059
E01026862,620743.8,308306.3
