Easting,Northing
445732,119071
321823,862199
535780,168411
598970,263980
542250,170660
532085,178945
438080,400370
553321,227014
340330,376510
542700,174960
476990,340030
519080,196320
409550,274290
554350,279440
570200,156900
449700,329700
553965,187865
474825,106325
532180,196666
536427,198745
532970,196550
372700,417800
522806,159759
520700,160900
410985,292280
314957,187866
554271,134488
551130,178100
526050,173040
357750,395120
475300,171900
514696,165824
268210,664960
532120,184140
528445,169250
334721,379404
480034,429437
571431,126301
567634,178969
529545,182675
355688,418431
403706,244452
522569,162158
521480,162660
515975,103745
291875,92995
291175,93320
291461,91965
257177,665510
300002,81170
298043,86399
553565,164934
221030,654640
544553,175403
288780,680290
288300,679100
181777,32322
181130,32085
585622,197826
534700,108700
456971,106257
484446,146548
292380,660140
601585,160924
521728,134388
337916,397336
281518,878244
510600,173300
533410,180940
309485,99355
303600,199560
498570,425560
262900,221200
195200,239000
194535,238200
511370,480690
361060,178595
436647,217265
473000,352000
441475,415290
406010,285910
481626,155260
302070,533800
324500,373100
503390,234980
374575,394184
622084,136286
620985,136428
207990,726750
394716,396126
630250,235146
526070,185050
531358,186746
500215,104280
535410,172940
329150,406850
302950,858920
289100,942500
411750,298010
320880,485460
540885,248760
560739,136362
465360,100050
261600,312900
486850,156010
487725,156630
351870,377895
379130,160370
390421,397183
487430,157717
623525,220426
497600,145140
531560,181840
555595,169330
374400,406000
378450,147610
402390,536890
329110,408250
540458,185335
225600,677530
210531,774186
314440,177940
415305,436035
483530,105060
525483,105366
488245,234292
442475,420480
514830,171840
400840,383540
488294,182334
236600,210400
401420,289320
401421,289320
440785,433540
266800,664500
378870,491810
295380,249430
239500,861300
355500,399300
354100,407200
384720,388477
482000,388400
364450,372850
481900,389900
496622,143946
500184,188785
399180,404690
514810,183900
380275,462915
392550,397550
552940,189310
256375,659125
533321,171235
219030,598380
478330,505555
443530,423825
369555,392495
483700,428700
445645,404390
315300,199100
258794,665257
258737,665139
259890,665200
232190,652740
259190,665515
259241,665531
380980,126110
280200,376000
292900,710500
189870,780970
577520,168365
329110,697220
383675,218580
403480,394190
545790,108670
558545,174842
332490,387860
519835,178380
317455,174965
538060,177335
330320,333400
396460,394995
546400,187300
536277,148357
355800,734200
282550,899750
508915,147842
474414,423753
378300,369550
460247,180642
531880,197780
510477,103189
389064,396939
528300,185670
224280,677950
341200,478150
259240,196400
509940,421310
426610,141270
410100,290800
561340,177810
318930,483920
228200,675900
227260,676160
331960,567905
315500,959300
393200,453600
224250,691050
527520,410357
526800,409125
425000,378800
275591,673147
482800,505270
531750,195470
511965,199890
270029,667790
286400,189900
540640,172145
564577,174029
252182,668590
457405,510830
611198,221460
550478,242429
523900,410420
491400,335200
378300,245700
489300,201319
421510,562730
528700,141300
499200,149600
418830,442230
242750,70830
625523,335128
331900,353300
453200,515600
514600,413560
534890,184925
537060,184572
402400,396000
645842,298493
526225,198210
473091,208549
367300,404247
533555,183955
390140,280510
430413,455336
534555,185100
376990,386930
570347,164326
330468,400600
638868,277868
344856,385611
447030,455825
272200,655200
271220,655860
513300,169803
404915,292580
332690,389130
517450,169740
443273,214245
515390,180520
379215,431745
520940,183370
260800,654300
515314,188012
363150,371780
625987,232397
489802,132928
530404,115543
581450,109650
523240,208750
423295,381040
397420,394280
422400,266400
471781,106595
552240,359890
196000,215700
331130,365860
331140,369500
509714,179422
155970,37325
324000,673200
540030,166060
391980,386750
399500,426800
583430,155060
559378,141370
526970,343670
385030,270735
376640,366930
514650,343580
515376,168361
399977,312494
522140,188270
414330,416910
583800,144000
521870,411040
318111,180385
318080,180300
449674,115000
426815,435820
513870,190590
385166,457229
302380,915475
348670,375635
504300,205925
315400,195000
414830,265950
458560,422820
351543,240546
531955,174410
512155,165425
532980,212910
502925,425685
328590,381960
546530,144550
428550,561970
394030,564320
448290,224750
340290,460070
531681,212856
578910,212200
332200,147000
531585,184735
538575,191840
427120,522500
531585,184725
571556,172613
332320,414440
466385,103615
442700,293200
361960,405220
420263,94821
519433,229734
330020,403680
372757,411285
528580,165930
384350,385865
555680,148500
255100,672100
409760,424960
410590,282115
517465,143780
252680,664840
251650,665080
229700,682400
229920,683300
370420,563790
224800,382200
447300,108200
560733,102125
378346,395102
527265,185630
420500,281270
600090,133770
398730,91730
515600,165300
385875,383310
402540,289720
298995,525385
476380,182270
353537,839618
