"E01024690"	"15"
"E01024691"	"27"
"E01013184"	"31"
"E01013185"	"13"
"E01013186"	"5"
"E01013187"	"31"
"E01013180"	"7"
"E01013181"	"51"
"E01013182"	"18"
"E01013183"	"15"
"E01013188"	"15"
"E01025270"	"10"
"E01015494"	"38"
"E01015497"	"5"
"E01015490"	"5"
"E01015491"	"8"
"E01015493"	"15"
"E01021059"	"9"
"E01021058"	"9"
"E01021053"	"1"
"E01021051"	"4"
"E01021050"	"14"
"E01021057"	"5"
"E01021056"	"5"
"E01021055"	"11"
"E01021054"	"6"
"E01025772"	"3"
"E01025773"	"4"
"E01025770"	"4"
"E01025771"	"3"
"E01025776"	"9"
"E01025777"	"15"
"E01025774"	"3"
"E01025775"	"9"
"E01025778"	"4"
"E01025779"	"7"
"E01009380"	"6"
"E01026870"	"22"
"E01026871"	"2"
"E01026872"	"5"
"E01026873"	"6"
"E01026874"	"2"
"E01026875"	"2"
"E01026876"	"4"
"E01026877"	"4"
"E01026878"	"4"
"E01026879"	"4"
"E01030824"	"13"
"E01030825"	"8"
"E01030826"	"8"
"E01030827"	"22"
"E01030820"	"2"
"E01030821"	"3"
"E01030822"	"10"
"E01030823"	"12"
"E01030828"	"7"
"E01030829"	"16"
"E01025334"	"17"
"E01014869"	"3"
"E01008148"	"18"
"E01008149"	"6"
"E01023349"	"10"
"E01023348"	"24"
"E01008140"	"10"
"E01008141"	"19"
"E01008142"	"8"
"E01008143"	"17"
"E01008144"	"8"
"E01008145"	"17"
"E01008146"	"3"
"E01008147"	"5"
"E01025335"	"13"
"E01011939"	"12"
"E01011938"	"2"
"E01011937"	"9"
"E01011936"	"8"
"E01011935"	"9"
"E01011934"	"7"
"E01011933"	"13"
"E01011932"	"8"
"E01011931"	"2"
"E01011930"	"5"
"E01023969"	"7"
"E01023968"	"2"
"E01023961"	"5"
"E01023960"	"7"
"E01023963"	"11"
"E01023962"	"6"
"E01023965"	"3"
"E01023964"	"20"
"E01023967"	"8"
"E01023966"	"6"
"E01027048"	"14"
"E01027049"	"6"
"E01027042"	"5"
"E01027043"	"6"
"E01027040"	"4"
"E01027041"	"30"
"E01027046"	"6"
"E01027047"	"4"
"E01027044"	"3"
"E01027045"	"13"
"E01005639"	"7"
"E01005638"	"24"
"E01005635"	"5"
"E01005634"	"16"
"E01005637"	"17"
"E01005636"	"16"
"E01005631"	"37"
"E01005630"	"25"
"E01005633"	"12"
"E01005632"	"16"
"W01001325"	"14"
"W01001324"	"14"
"W01001327"	"29"
"W01001326"	"19"
"W01001321"	"10"
"W01001320"	"5"
"E01033038"	"21"
"E01033039"	"16"
"E01033036"	"6"
"E01033037"	"7"
"E01033034"	"12"
"E01033035"	"10"
"E01033032"	"19"
"E01033033"	"4"
"E01033030"	"17"
"E01033031"	"25"
"E01002173"	"8"
"E01002172"	"12"
"E01002171"	"5"
"E01002170"	"10"
"E01002177"	"10"
"E01002176"	"4"
"E01002175"	"3"
"E01002174"	"3"
"E01002179"	"33"
"E01002178"	"4"
"E01005183"	"13"
"E01005182"	"13"
"E01005181"	"17"
"E01005180"	"30"
"E01005187"	"35"
"E01005186"	"16"
"E01005185"	"80"
"E01005184"	"37"
"E01005189"	"25"
"E01005188"	"21"
"E01030198"	"4"
"E01004588"	"33"
"E01004589"	"11"
"E01028179"	"1"
"E01028178"	"13"
"E01004584"	"14"
"E01004585"	"11"
"E01004586"	"7"
"E01004587"	"13"
"E01004580"	"20"
"E01004581"	"12"
"E01004582"	"15"
"E01004583"	"17"
"W01000498"	"23"
"W01000499"	"17"
"W01000494"	"9"
"W01000496"	"8"
"W01000497"	"5"
"W01000492"	"45"
"W01000493"	"9"
"E01008927"	"19"
"E01008924"	"25"
"E01008925"	"4"
"E01008923"	"10"
"E01008920"	"4"
"E01008921"	"13"
"E01008928"	"13"
"E01008929"	"25"
"E01024399"	"6"
"E01024398"	"10"
"E01024397"	"10"
"E01024396"	"7"
"E01022969"	"13"
"E01030455"	"84"
"E01030454"	"6"
"E01030457"	"29"
"E01030456"	"3"
"E01030451"	"59"
"E01030450"	"20"
"E01030453"	"8"
"E01030452"	"97"
"E01031307"	"5"
"E01031304"	"4"
"E01031305"	"3"
"E01031302"	"2"
"E01031303"	"8"
"E01020089"	"12"
"E01020088"	"4"
"E01020087"	"11"
"E01020086"	"4"
"E01020085"	"14"
"E01020084"	"4"
"E01020083"	"7"
"E01020082"	"2"
"E01020081"	"4"
"E01020080"	"3"
"E01000463"	"6"
"E01000462"	"15"
"E01000461"	"5"
"E01000460"	"3"
"E01000467"	"8"
"E01000466"	"19"
"E01000465"	"15"
"E01000464"	"15"
"E01000469"	"9"
"E01000468"	"11"
"E01020559"	"4"
