LSOA_CODE,Pupil absence rates,Absence 10
E01010819,11.8,7.316
E01011346,11.8,7.316
E01011348,11.8,7.316
E01011432,11.8,7.316
E01011502,11.8,7.316
E01011623,11.8,7.316
E01011663,11.8,7.316
E01012830,11.8,7.316
E01012900,11.8,7.316
E01012910,11.8,7.316
E01013881,11.8,7.316
E01026083,11.8,7.316
E01016005,11.8,7.316
E01021592,11.8,7.316
E01026793,11.8,7.316
E01003346,11.8,7.316
E01024618,11.8,7.316
E01031359,11.8,7.316
E01008327,11.7,7.254
E01008426,11.7,7.254
E01012059,11.7,7.254
E01012082,11.7,7.254
E01005067,11.7,7.254
E01005108,11.7,7.254
E01005133,11.7,7.254
E01005145,11.7,7.254
E01005166,11.7,7.254
E01005187,11.7,7.254
E01005190,11.7,7.254
E01005628,11.7,7.254
E01005652,11.7,7.254
E01006563,11.7,7.254
E01006661,11.7,7.254
E01006703,11.7,7.254
E01006779,11.7,7.254
E01019222,11.7,7.254
E01007905,11.7,7.254
E01007906,11.7,7.254
E01010614,11.7,7.254
E01011344,11.7,7.254
E01011434,11.7,7.254
E01011466,11.7,7.254
E01011469,11.7,7.254
E01012784,11.7,7.254
E01012787,11.7,7.254
E01012806,11.7,7.254
E01012915,11.7,7.254
E01013906,11.7,7.254
E01013940,11.7,7.254
E01013955,11.7,7.254
E01028230,11.7,7.254
E01010077,11.7,7.254
E01003351,11.7,7.254
E01017130,11.7,7.254
E01017144,11.7,7.254
E01017266,11.7,7.254
E01017269,11.7,7.254
E01024617,11.7,7.254
E01031345,11.7,7.254
E01014582,11.7,7.254
E01014584,11.7,7.254
E01008459,11.6,7.192
E01005093,11.6,7.192
E01005137,11.6,7.192
E01005164,11.6,7.192
E01005293,11.6,7.192
E01005721,11.6,7.192
E01006558,11.6,7.192
E01006561,11.6,7.192
E01025590,11.6,7.192
E01007880,11.6,7.192
E01010821,11.6,7.192
E01011316,11.6,7.192
E01011326,11.6,7.192
E01011340,11.6,7.192
E01011658,11.6,7.192
E01011667,11.6,7.192
E01012861,11.6,7.192
E01012873,11.6,7.192
E01013639,11.6,7.192
E01013826,11.6,7.192
E01013876,11.6,7.192
E01013884,11.6,7.192
E01013885,11.6,7.192
E01028231,11.6,7.192
E01028262,11.6,7.192
E01010015,11.6,7.192
E01015842,11.6,7.192
E01017268,11.6,7.192
E01017272,11.6,7.192
E01031377,11.6,7.192
E01014610,11.6,7.192
E01015379,11.6,7.192
E01008427,11.5,7.13
E01008429,11.5,7.13
E01012060,11.5,7.13
E01005112,11.5,7.13
E01005201,11.5,7.13
E01005251,11.5,7.13
E01005262,11.5,7.13
E01005610,11.5,7.13
E01006676,11.5,7.13
E01006677,11.5,7.13
E01006691,11.5,7.13
E01006739,11.5,7.13
E01006751,11.5,7.13
E01006758,11.5,7.13
E01025592,11.5,7.13
E01007500,11.5,7.13
E01007881,11.5,7.13
E01010616,11.5,7.13
E01011332,11.5,7.13
E01011349,11.5,7.13
E01011444,11.5,7.13
E01011448,11.5,7.13
E01011467,11.5,7.13
E01011664,11.5,7.13
E01011672,11.5,7.13
E01012842,11.5,7.13
E01012893,11.5,7.13
E01013633,11.5,7.13
E01013641,11.5,7.13
E01013782,11.5,7.13
E01028030,11.5,7.13
E01028066,11.5,7.13
